county,platform,evidence,evidence_kind,services,note,has_generator,html_bytes,county_name,fips,pop2020,rucc,rucc_band
parker,CivicPlus,government websites by civicplus® </a>,builder credit,Tyler Technologies,,no,57252,Parker,48367,148222,1,Large metro (1M+)
parmer,WordPress,https://parmercounty.texas.gov/wp-content/uploads/2017/08/parmer-count,same-host path,,,yes,34061,Parmer,48369,9869,9,"Nonmetro, rural"
pecos,WordPress,https://www.co.pecos.tx.us/wp-content/uploads/2019/10/pc_header2.jpg,same-host path,,,no,36379,Pecos,48371,15193,7,"Nonmetro, has an urban core"
polk,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,58465,Polk,48373,50123,6,"Nonmetro, has an urban core"
potter,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,50698,Potter,48375,118525,2,Medium metro (250k-1M)
presidio,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,28349,Presidio,48377,6131,9,"Nonmetro, rural"
rains,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,29093,Rains,48379,12164,8,"Nonmetro, rural"
randall,CivicPlus,civicplus® </a>,builder credit,,,no,51557,Randall,48381,140753,2,Medium metro (250k-1M)
reagan,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,19250,Reagan,48383,3385,8,"Nonmetro, rural"
real,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,30272,Real,48385,2758,9,"Nonmetro, rural"
red_river,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,20740,Red River,48387,11587,8,"Nonmetro, rural"
reeves,Granicus / Vision,"<a href=""//www.granicus.com/"">",builder credit,Granicus services,,no,54142,Reeves,48389,14748,7,"Nonmetro, has an urban core"
refugio,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,ENR / results portal,,no,33834,Refugio,48391,6741,8,"Nonmetro, rural"
roberts,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,26186,Roberts,48393,827,9,"Nonmetro, rural"
robertson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,50185,Robertson,48395,16757,2,Medium metro (250k-1M)
rockwall,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,60631,Rockwall,48397,107819,1,Large metro (1M+)
runnels,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36549,Runnels,48399,9900,8,"Nonmetro, rural"
rusk,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,74649,Rusk,48401,52214,2,Medium metro (250k-1M)
sabine,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,59486,Sabine,48403,9894,9,"Nonmetro, rural"
san_augustine,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25523,San Augustine,48405,7918,9,"Nonmetro, rural"
san_jacinto,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,51312,San Jacinto,48407,27402,1,Large metro (1M+)
san_patricio,ezTask Titanium (TAC),"<a href=""https://www.eztask.com"" target=""_blank"">",builder credit,Google Translate,,no,64026,San Patricio,48409,68755,2,Medium metro (250k-1M)
san_saba,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24567,San Saba,48411,5730,9,"Nonmetro, rural"
schleicher,ezTask Titanium (TAC),tf-8&amp;u=http%3a%2f%2fwww.eztask.com%2f&amp;edit-text=&amp;a,builder credit,Google Translate,,no,43946,Schleicher,48413,2451,8,"Nonmetro, rural"
scurry,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,41547,Scurry,48415,16932,7,"Nonmetro, has an urban core"
shackelford,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,39083,Shackelford,48417,3105,8,"Nonmetro, rural"
shelby,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,26999,Shelby,48419,24022,7,"Nonmetro, has an urban core"
sherman,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,31555,Sherman,48421,2782,9,"Nonmetro, rural"
smith,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,55762,Smith,48423,233479,3,Small metro (<250k)
somervell,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,58390,Somervell,48425,9205,8,"Nonmetro, rural"
starr,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,57066,Starr,48427,65920,4,"Nonmetro, has an urban core"
stephens,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,35809,Stephens,48429,9101,7,"Nonmetro, has an urban core"
sterling,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,38090,Sterling,48431,1372,8,"Nonmetro, rural"
stonewall,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,17468,Stonewall,48433,1245,9,"Nonmetro, rural"
sutton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,37937,Sutton,48435,3372,9,"Nonmetro, rural"
swisher,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23275,Swisher,48437,6971,8,"Nonmetro, rural"
tarrant,Other / unknown,,,Tyler Technologies,,no,171336,Tarrant,48439,2110640,1,Large metro (1M+)
taylor,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,65270,Taylor,48441,143208,3,Small metro (<250k)
terrell,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,48029,Terrell,48443,760,9,"Nonmetro, rural"
terry,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23061,Terry,48445,11831,6,"Nonmetro, has an urban core"
throckmorton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,18032,Throckmorton,48447,1440,9,"Nonmetro, rural"
titus,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,29212,Titus,48449,31247,7,"Nonmetro, has an urban core"
tom_green,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Tyler Technologies,,no,34756,Tom Green,48451,120003,3,Small metro (<250k)
travis,Other / unknown,,,,,no,28596,Travis,48453,1290188,1,Large metro (1M+)
trinity,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,59074,Trinity,48455,13602,8,"Nonmetro, rural"
tyler,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42624,Tyler,48457,19798,8,"Nonmetro, rural"
upshur,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Tyler Technologies,,no,52288,Upshur,48459,40892,2,Medium metro (250k-1M)
upton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,49068,Upton,48461,3308,8,"Nonmetro, rural"
uvalde,Wix,Wix.com Website Builder,meta generator,,,yes,93501,Uvalde,48463,24564,6,"Nonmetro, has an urban core"
val_verde,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,79181,Val Verde,48465,47586,5,"Nonmetro, has an urban core"
van_zandt,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,39474,Van Zandt,48467,59541,8,"Nonmetro, rural"
victoria,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,71081,Victoria,48469,91319,3,Small metro (<250k)
walker,Other / unknown,,,Google Translate,,no,27507,Walker,48471,76400,4,"Nonmetro, has an urban core"
waller,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,34870,Waller,48473,56794,1,Large metro (1M+)
ward,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,32662,Ward,48475,11644,6,"Nonmetro, has an urban core"
washington,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36268,Washington,48477,35805,6,"Nonmetro, has an urban core"
webb,Other / unknown,,,,,no,25416,Webb,48479,267114,2,Medium metro (250k-1M)
wharton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,33539,Wharton,48481,41570,4,"Nonmetro, has an urban core"
wheeler,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,45306,Wheeler,48483,4990,9,"Nonmetro, rural"
wichita,WordPress,WordPress 7.0.4,meta generator,Tyler Technologies,,yes,36711,Wichita,48485,129350,3,Small metro (<250k)
wilbarger,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,40307,Wilbarger,48487,12887,6,"Nonmetro, has an urban core"
willacy,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,32649,Willacy,48489,20164,6,"Nonmetro, has an urban core"
williamson,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,61051,Williamson,48491,609017,1,Large metro (1M+)
wilson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,51511,Wilson,48493,49753,1,Large metro (1M+)
winkler,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,55602,Winkler,48495,7791,6,"Nonmetro, has an urban core"
wise,CivicPlus,government websites by civicplus® </span>,builder credit,,,no,59016,Wise,48497,68632,1,Large metro (1M+)
wood,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,32428,Wood,48499,44843,6,"Nonmetro, has an urban core"
yoakum,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,40243,Yoakum,48501,7694,9,"Nonmetro, rural"
young,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,34123,Young,48503,17867,7,"Nonmetro, has an urban core"
zapata,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,32561,Zapata,48505,13889,6,"Nonmetro, has an urban core"
zavala,Other / unknown,,,,,no,61720,Zavala,48507,9670,7,"Nonmetro, has an urban core"
